,station_date,split,pos_lat,pos_lon,pos_height,solution_quality,num_satellites,sdn,sde,sdu,sdne,sdeu,sdun,age,ratio,pdop,pos_uncertainty,bds_sat_count_obs,snr_mean,snr_min,snr_max,snr_std,true_h_error_m,reliability_class
2023-12-10 00:36:00,URUM_20231210,train,43.807943938,87.600670051,854.7923,5,14,2.0297,1.496,4.6277,0.7928,-1.0906,-1.5733,0.0,0.0,5.270038460960223,2.5214476179369663,26,42.97973076923077,34.098,50.68,4.50511513333626,0.6783517225441053,0
2023-12-10 00:36:30,URUM_20231210,train,43.807944493,87.600672221,854.469,5,14,2.0329,1.4951,4.6241,0.7891,-1.09,-1.5752,0.0,0.0,5.267856037326761,2.523490919341697,26,42.95353846153846,34.195,50.746,4.610258502346863,0.6201395771150601,0
2023-12-10 00:37:00,URUM_20231210,train,43.807943333,87.600668737,854.9605,5,14,2.0362,1.4942,4.6203,0.7853,-1.0894,-1.5771,0.0,0.0,5.265540444246915,2.5256175640821,26,42.96761538461538,34.645,50.805,4.604245710879671,0.763254077556308,0
2023-12-10 00:37:30,URUM_20231210,train,43.807945167,87.600666735,856.3469,5,14,2.0394,1.4934,4.6163,0.7815,-1.0889,-1.579,0.0,0.0,5.263042999064325,2.527725443951538,26,42.96761538461538,33.402,50.566,4.603583144264242,0.6371318345108428,0
2023-12-10 00:38:00,URUM_20231210,train,43.807943151,87.600666835,855.8948,5,14,2.0427,1.4925,4.6122,0.7777,-1.0883,-1.5809,0.0,0.0,5.2604722582673125,2.529857612594037,26,42.97153846153846,34.359,50.906,4.496271061497686,0.831684702738886,0
2023-12-10 00:38:30,URUM_20231210,train,43.807945533,87.600665766,855.7176,5,14,2.046,1.4916,4.6079,0.7738,-1.0876,-1.5827,0.0,0.0,5.257730401038075,2.531992606624277,26,43.00076923076923,34.898,50.836,4.464083747491235,0.6504785063644576,0
2023-12-10 00:39:00,URUM_20231210,train,43.807940316,87.600666021,856.0014,5,14,2.0494,1.4908,4.6034,0.7699,-1.087,-1.5846,0.0,0.0,5.254885018723055,2.5342701118862605,26,42.95065384615385,34.039,51.016,4.633890054304765,1.1485456321643928,0
2023-12-10 00:39:30,URUM_20231210,train,43.807940018,87.600668679,855.1577,5,14,2.0527,1.4899,4.5988,0.766,-1.0864,-1.5865,0.0,0.0,5.251889254354094,2.5364107120101824,26,42.865346153846154,32.488,50.961,4.78723713172688,1.125465651016169,0
2023-12-10 00:40:00,URUM_20231210,train,43.807939665,87.600667956,855.3129,5,14,2.0561,1.4891,4.594,0.762,-1.0857,-1.5884,0.0,0.0,5.248790529255287,2.538693762547976,26,42.80173076923077,32.973,50.969,4.717902199560243,1.1748727654839832,0
2023-12-10 00:40:30,URUM_20231210,train,43.807941571,87.600665301,855.96,5,14,2.0595,1.4883,4.5891,0.758,-1.085,-1.5903,0.0,0.0,5.2456092067556845,2.540979563081923,26,42.83711538461539,32.598,50.652,4.721426880314239,1.042880805960508,0
